Loading dataset...
Initializing model...
Starting training...
trainable params: 5,898,240 || all params: 4,028,366,336 || trainable%: 0.1464
총 300개의 JSON 파일을 로드합니다.
총 300개의 JSON 파일이 성공적으로 로드되었습니다.
총 학습 스텝 수: 15000
[E1] step 0 loss 9.2437
[E1] step 10 loss 21.5788
[E1] step 20 loss 2.9427
[E1] step 30 loss 7.7122
[E1] step 40 loss 1.4524
[E1] step 50 loss 0.4801
[E1] step 60 loss 0.4667
[E1] step 70 loss 1.4659
[E1] step 80 loss 0.5341
[E1] step 90 loss 0.6448
[E1] step 100 loss 5.7080
[E1] step 110 loss 0.3257
[E1] step 120 loss 0.4841
[E1] step 130 loss 6.6097
[E1] step 140 loss 0.0289
[E1] step 150 loss 2.7899
[E1] step 160 loss 1.2005
[E1] step 170 loss 0.1105
[E1] step 180 loss 0.3917
[E1] step 190 loss 1.2809
[E1] step 200 loss 6.6378
[E1] step 210 loss 0.4216
[E1] step 220 loss 0.0008
[E1] step 230 loss 0.5413
[E1] step 240 loss 0.2724
[E1] step 250 loss 0.4414
[E1] step 260 loss 0.4741
[E1] step 270 loss 2.4667
[E1] step 280 loss 0.7268
[E1] step 290 loss 1.0022
[E1] step 300 loss 0.0939
[E1] step 310 loss 0.7127
[E1] step 320 loss 0.8755
[E1] step 330 loss 0.0356
[E1] step 340 loss 0.6881
[E1] step 350 loss 0.6032
[E1] step 360 loss 2.4620
[E1] step 370 loss 0.7167
[E1] step 380 loss 2.5009
[E1] step 390 loss 0.9499
[E1] step 400 loss 1.8293
[E1] step 410 loss 0.9436
[E1] step 420 loss 1.0987
[E1] step 430 loss 0.0573
[E1] step 440 loss 0.3175
[E1] step 450 loss 0.7682
[E1] step 460 loss 5.2451
[E1] step 470 loss 1.8219
[E1] step 480 loss 1.2974
[E1] step 490 loss 1.9299
[E1] step 500 loss 6.9732
[E1] step 510 loss 0.5094
[E1] step 520 loss 2.2172
[E1] step 530 loss 0.0006
[E1] step 540 loss 2.8461
[E1] step 550 loss 0.8426
[E1] step 560 loss 0.6548
[E1] step 570 loss 1.9717
[E1] step 580 loss 2.4137
[E1] step 590 loss 0.2182
[E1] step 600 loss 0.7362
[E1] step 610 loss 1.4840
[E1] step 620 loss 0.1999
[E1] step 630 loss 0.3215
[E1] step 640 loss 0.1561
[E1] step 650 loss 0.8996
[E1] step 660 loss 2.4523
[E1] step 670 loss 6.2948
[E1] step 680 loss 3.3061
[E1] step 690 loss 2.1544
[E1] step 700 loss 0.9335
[E1] step 710 loss 1.0888
[E1] step 720 loss 1.1022
[E1] step 730 loss 0.0094
[E1] step 740 loss 2.8917
[E1] step 750 loss 1.3495
[E1] step 760 loss 2.4530
[E1] step 770 loss 3.0680
[E1] step 780 loss 1.2672
[E1] step 790 loss 0.3621
[E1] step 800 loss 0.8453
[E1] step 810 loss 0.0152
[E1] step 820 loss 0.4988
[E1] step 830 loss 0.7326
[E1] step 840 loss 0.4642
[E1] step 850 loss 1.0813
[E1] step 860 loss 0.2459
[E1] step 870 loss 0.4980
[E1] step 880 loss 0.5865
[E1] step 890 loss 2.5467
[E1] step 900 loss 0.7557
[E1] step 910 loss 1.9555
[E1] step 920 loss 0.4389
[E1] step 930 loss 0.0971
[E1] step 940 loss 1.8522
[E1] step 950 loss 0.0193
[E1] step 960 loss 1.6292
[E1] step 970 loss 0.4866
[E1] step 980 loss 0.2746
[E1] step 990 loss 0.0831
[E1] step 1000 loss 0.5081
[E1] step 1010 loss 6.5862
[E1] step 1020 loss 2.9731
[E1] step 1030 loss 0.4814
[E1] step 1040 loss 1.0517
[E1] step 1050 loss 0.2787
[E1] step 1060 loss 0.8551
[E1] step 1070 loss 0.7188
[E1] step 1080 loss 1.5724
[E1] step 1090 loss 0.5144
[E1] step 1100 loss 3.0017
[E1] step 1110 loss 0.8909
[E1] step 1120 loss 1.3113
[E1] step 1130 loss 1.4138
[E1] step 1140 loss 0.1251
[E1] step 1150 loss 0.2587
[E1] step 1160 loss 0.8503
[E1] step 1170 loss 0.5854
[E1] step 1180 loss 3.0901
[E1] step 1190 loss 0.7441
[E1] step 1200 loss 2.3920
[E1] step 1210 loss 1.2578
